Temporada,Janela Flutuante,Acurácia média de todas,Acurácia
2008-2009,8-1,0.7161572052401747,
2009-2010,8-1,0.6493506493506493,
2011-2012,8-1,0.6785714285714286,
2012-2013,8-1,0.5994152046783626,
2013-2014,8-1,0.5551948051948052,
2014-2015,8-1,0.592057761732852,
2015-2016,8-1,0.5587044534412956,
2016-2017,8-1,0.5833333333333334,
2018-2019,8-1,0.6142857142857143,
2019-2020,8-1,0.5025125628140703,
2020-2021,8-1,0.6434108527131783,
2021-2022,8-1,0.6148648648648649,
2022-2023,8-1,0.5953947368421053,
2023-2024,8-1,0.6084656084656085,
Média/Desvio Padrão,8-1,,"Média: 0.61, Desvio Padrão: 0.00"
