Temporada,Porcentagem de Treino,Acurácia
2008-2009,0.2,0.6789473684210526
2009-2010,0.2,0.6384615384615384
2011-2012,0.2,0.8156028368794326
2012-2013,0.2,0.8142857142857143
2013-2014,0.2,0.8260869565217391
2014-2015,0.2,0.7236842105263158
2015-2016,0.2,0.6617647058823529
2016-2017,0.2,0.7548076923076923
2018-2019,0.2,0.7085714285714285
2019-2020,0.2,0.6686746987951807
2020-2021,0.2,0.7464788732394366
2021-2022,0.2,0.6762295081967213
2022-2023,0.2,0.728
2023-2024,0.2,0.7216828478964401
Média/Desvio Padrão,0.2,"Média: 0.73, Desvio Padrão: 0.06"
2008-2009,0.4,0.8531468531468531
2009-2010,0.4,0.6530612244897959
2011-2012,0.4,0.7169811320754716
2012-2013,0.4,0.9476190476190476
2013-2014,0.4,0.7894736842105263
2014-2015,0.4,0.8888888888888888
2015-2016,0.4,0.5098039215686274
2016-2017,0.4,0.8141025641025641
2018-2019,0.4,0.6335877862595419
2019-2020,0.4,0.768
2020-2021,0.4,0.76875
2021-2022,0.4,0.7868852459016393
2022-2023,0.4,0.8670212765957447
2023-2024,0.4,0.7370689655172413
Média/Desvio Padrão,0.4,"Média: 0.77, Desvio Padrão: 0.11"
2008-2009,0.5,0.8235294117647058
2009-2010,0.5,0.6666666666666666
2011-2012,0.5,0.8181818181818182
2012-2013,0.5,0.9314285714285714
2013-2014,0.5,0.8164556962025317
2014-2015,0.5,0.8461538461538461
2015-2016,0.5,0.71875
2016-2017,0.5,0.7615384615384615
2018-2019,0.5,0.7798165137614679
2019-2020,0.5,0.7884615384615384
2020-2021,0.5,0.8195488721804511
2021-2022,0.5,0.8289473684210527
2022-2023,0.5,0.8782051282051282
2023-2024,0.5,0.9015544041450777
Média/Desvio Padrão,0.5,"Média: 0.81, Desvio Padrão: 0.07"
2008-2009,0.6,0.8315789473684211
2009-2010,0.6,0.7384615384615385
2011-2012,0.6,0.7746478873239436
2012-2013,0.6,0.8214285714285714
2013-2014,0.6,0.9606299212598425
2014-2015,0.6,0.868421052631579
2015-2016,0.6,0.8725490196078431
2016-2017,0.6,0.8942307692307693
2018-2019,0.6,0.7727272727272727
2019-2020,0.6,0.7469879518072289
2020-2021,0.6,0.822429906542056
2021-2022,0.6,0.6885245901639344
2022-2023,0.6,0.888
2023-2024,0.6,0.8903225806451613
Média/Desvio Padrão,0.6,"Média: 0.83, Desvio Padrão: 0.07"
2008-2009,0.8,0.8541666666666666
2009-2010,0.8,0.8484848484848485
2011-2012,0.8,0.8888888888888888
2012-2013,0.8,0.9714285714285714
2013-2014,0.8,0.765625
2014-2015,0.8,0.8596491228070176
2015-2016,0.8,0.6470588235294118
2016-2017,0.8,0.9230769230769231
2018-2019,0.8,0.8181818181818182
2019-2020,0.8,0.8095238095238095
2020-2021,0.8,0.9259259259259259
2021-2022,0.8,0.9672131147540983
2022-2023,0.8,0.9365079365079365
2023-2024,0.8,0.9358974358974359
Média/Desvio Padrão,0.8,"Média: 0.87, Desvio Padrão: 0.09"
2008-2009,0.9,0.8333333333333334
2009-2010,0.9,0.8823529411764706
2011-2012,0.9,0.7777777777777778
2012-2013,0.9,0.9142857142857143
2013-2014,0.9,0.96875
2014-2015,0.9,0.896551724137931
2015-2016,0.9,0.7692307692307693
2016-2017,0.9,1.0
2018-2019,0.9,0.7727272727272727
2019-2020,0.9,0.8571428571428571
2020-2021,0.9,0.9259259259259259
2021-2022,0.9,0.9354838709677419
2022-2023,0.9,0.9375
2023-2024,0.9,0.9230769230769231
Média/Desvio Padrão,0.9,"Média: 0.89, Desvio Padrão: 0.07"
